title,studio,domestic_gross_x,foreign_gross,year,id,release_date,production_budget,domestic_gross_y,worldwide_gross
Toy Story 3,BV,415000000.0,652000000,2010,47,"Jun 18, 2010","$200,000,000","$415,004,880","$1,068,879,522"
Inception,WB,292600000.0,535700000,2010,38,"Jul 16, 2010","$160,000,000","$292,576,195","$835,524,642"
Shrek Forever After,P/DW,238700000.0,513900000,2010,27,"May 21, 2010","$165,000,000","$238,736,787","$756,244,673"
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010,53,"Jun 30, 2010","$68,000,000","$300,531,751","$706,102,828"
Iron Man 2,Par.,312400000.0,311500000,2010,15,"May 7, 2010","$170,000,000","$312,433,331","$621,156,389"
Tangled,BV,200800000.0,391000000,2010,15,"Nov 24, 2010","$260,000,000","$200,821,936","$586,477,240"
Despicable Me,Uni.,251500000.0,291600000,2010,50,"Jul 9, 2010","$69,000,000","$251,513,985","$543,464,573"
How to Train Your Dragon,P/DW,217600000.0,277300000,2010,30,"Mar 26, 2010","$165,000,000","$217,581,232","$494,870,992"
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,48,"Dec 10, 2010","$155,000,000","$104,386,950","$418,186,950"
The Karate Kid,Sony,176600000.0,182500000,2010,77,"Jun 11, 2010","$40,000,000","$176,591,618","$351,774,938"
The Karate Kid,Sony,176600000.0,182500000,2010,63,"Jun 22, 1984","$8,000,000","$90,815,558","$90,815,558"
Black Swan,FoxS,107000000.0,222400000,2010,46,"Dec 3, 2010","$13,000,000","$106,954,678","$331,266,710"
Megamind,P/DW,148400000.0,173500000,2010,47,"Nov 5, 2010","$130,000,000","$148,415,853","$321,887,208"
Robin Hood,Uni.,105300000.0,216400000,2010,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
Robin Hood,Uni.,105300000.0,216400000,2010,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
The Last Airbender,Par.,131800000.0,187900000,2010,83,"Jul 1, 2010","$150,000,000","$131,772,187","$319,713,881"
Little Fockers,Uni.,148400000.0,162200000,2010,70,"Dec 22, 2010","$100,000,000","$148,438,600","$310,650,574"
Resident Evil: Afterlife,SGem,60100000.0,240100000,2010,70,"Sep 10, 2010","$57,500,000","$60,128,566","$295,874,190"
Shutter Island,Par.,128000000.0,166800000,2010,52,"Feb 19, 2010","$80,000,000","$128,012,934","$299,461,782"
Salt,Sony,118300000.0,175200000,2010,50,"Jul 23, 2010","$130,000,000","$118,311,368","$290,650,494"
Sex and the City 2,WB (NL),95300000.0,193000000,2010,16,"May 27, 2010","$95,000,000","$95,347,692","$294,680,778"
The Tourist,Sony,67600000.0,210700000,2010,85,"Dec 10, 2010","$100,000,000","$67,631,157","$278,731,369"
The Expendables,LGF,103100000.0,171400000,2010,34,"Aug 13, 2010","$82,000,000","$103,068,524","$268,268,174"
Grown Ups,Sony,162000000.0,109400000,2010,34,"Jun 25, 2010","$75,000,000","$162,001,186","$272,223,430"
True Grit,Par.,171200000.0,81000000,2010,29,"Dec 22, 2010","$35,000,000","$171,243,005","$252,276,928"
Gulliver's Travels,Fox,42800000.0,194600000,2010,13,"Dec 25, 2010","$112,000,000","$42,779,261","$232,017,848"
The Social Network,Sony,97000000.0,128000000,2010,91,"Oct 1, 2010","$40,000,000","$96,962,694","$224,922,135"
Valentine's Day,WB (NL),110500000.0,106000000,2010,70,"Feb 12, 2010","$52,000,000","$110,485,654","$217,569,328"
The Sorcerer's Apprentice,BV,63200000.0,152100000,2010,44,"Jul 14, 2010","$160,000,000","$63,150,991","$217,986,320"
Due Date,WB,100500000.0,111200000,2010,84,"Nov 5, 2010","$65,000,000","$100,539,043","$211,739,043"
Eat Pray Love,Sony,80600000.0,124000000,2010,67,"Aug 13, 2010","$60,000,000","$80,574,010","$206,598,789"
Yogi Bear,WB,100200000.0,101300000,2010,62,"Dec 17, 2010","$80,000,000","$100,246,011","$204,774,690"
Red,Sum.,90400000.0,108600000,2010,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
Paranormal Activity 2,Par.,84800000.0,92800000,2010,65,"Oct 20, 2010","$3,000,000","$84,752,907","$177,512,032"
The A-Team,Fox,77200000.0,100000000,2010,32,"Jun 11, 2010","$110,000,000","$77,222,099","$177,241,171"
The Other Guys,Sony,119200000.0,51200000,2010,74,"Aug 6, 2010","$100,000,000","$119,219,978","$170,936,470"
Unstoppable,Fox,81600000.0,86200000,2010,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
The Book of Eli,WB,94800000.0,62300000,2010,64,"Jan 15, 2010","$80,000,000","$94,835,059","$158,750,817"
The Town,WB,92200000.0,61800000,2010,92,"Sep 17, 2010","$37,000,000","$92,186,262","$152,566,881"
Date Night,Fox,98700000.0,53600000,2010,99,"Apr 9, 2010","$55,000,000","$98,711,404","$152,269,033"
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010,90,"Sep 24, 2010","$100,000,000","$55,675,313","$139,716,717"
