,title,studio,year,production_budget,worldwide_gross,popularity,vote_average,vote_count,profit,genre,director,writer
1,Inception,WB,2010,160000000,835524642,27.92,8.3,22186,675524642,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,2010,155000000,418186950,17.382,6.3,3196,263186950,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
30,Gulliver's Travels,Fox,2010,112000000,232017848,10.768,5.1,1282,120017848,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
34,Due Date,WB,2010,65000000,211739043,12.445,6.3,2973,146739043,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
36,Yogi Bear,WB,2010,80000000,204774690,9.096,5.3,387,124774690,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
39,The A-Team,Fox,2010,110000000,177241171,17.097,6.3,2703,67241171,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
41,Unstoppable,Fox,2010,95000000,165720921,14.01,6.4,1913,70720921,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
42,Unstoppable,Fox,2010,95000000,165720921,0.6,1.6,4,70720921,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
43,The Book of Eli,WB,2010,80000000,158750817,18.985,6.7,3495,78750817,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
44,The Town,WB,2010,37000000,152566881,13.476,7.1,2386,115566881,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
45,Date Night,Fox,2010,55000000,152269033,12.498,6.0,1743,97269033,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
46,Legend of the Guardians: The Owls of Ga'Hoole,WB,2010,100000000,139716717,10.754,6.6,1223,39716717,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
50,Predators,Fox,2010,40000000,127234389,16.216,6.1,1979,87234389,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
52,Cats & Dogs: The Revenge of Kitty Galore,WB,2010,85000000,113026383,10.544,4.9,273,28026383,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
53,Tooth Fairy,Fox,2010,48000000,112610386,12.65,5.3,1058,64610386,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
54,Hereafter,WB,2010,50000000,108660270,7.886,5.9,848,58660270,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
63,Marmaduke,Fox,2010,50000000,89895930,8.487,5.1,367,39895930,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
66,Edge of Darkness,WB,2010,60000000,82812456,11.252,6.3,794,22812456,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
67,Edge of Darkness,WB,2010,60000000,82812456,0.6,7.0,1,22812456,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
68,Vampires Suck,Fox,2010,20000000,81424988,8.992,4.1,658,61424988,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
70,Diary of a Wimpy Kid,Fox,2010,15000000,76954311,12.256,6.0,736,61954311,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
77,Hot Tub Time Machine,MGM,2010,36000000,65967750,10.15,6.0,1383,29967750,Art House and International|Comedy|Drama|Musical and Performing Arts,Jim Jarmusch,Jim Jarmusch
78,Hot Tub Time Machine,MGM,2010,36000000,65967750,10.15,6.0,1383,29967750,Drama|Romance,Joan Chen,Allison Burnett
79,Hot Tub Time Machine,MGM,2010,36000000,65967750,10.15,6.0,1383,29967750,Action and Adventure|Drama,Sylvester Stallone,Sylvester Stallone
80,Hot Tub Time Machine,MGM,2010,36000000,65967750,10.15,6.0,1383,29967750,Drama|Horror|Mystery and Suspense,Peter Webber,Thomas Harris
81,Hot Tub Time Machine,MGM,2010,36000000,65967750,10.15,6.0,1383,29967750,Drama,George Hickenlooper,Captain Mauzner
82,Hot Tub Time Machine,MGM,2010,36000000,65967750,10.15,6.0,1383,29967750,Drama|Mystery and Suspense,Bryan Singer,Christopher McQuarrie|Nathan Alexander
83,Hot Tub Time Machine,MGM,2010,36000000,65967750,10.15,6.0,1383,29967750,Action and Adventure|Mystery and Suspense,Sam Mendes,John Logan|Robert Wade|Neal Purvis
90,Cop Out,WB,2010,37000000,55909910,8.82,5.4,796,18909910,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
96,Machete,Fox,2010,12500000,46370970,12.557,6.3,1862,33870970,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
106,The Losers,WB,2010,25000000,29863840,10.202,6.2,844,4863840,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
107,Ramona and Beezus,Fox,2010,15000000,27469621,7.442,6.3,460,12469621,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
129,Jonah Hex,WB,2010,47000000,11022696,13.467,4.6,708,-35977304,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
151,The Killer Inside Me,IFC,2010,13000000,3617277,7.087,5.9,304,-9382723,Comedy|Drama,John Krasinski,John Krasinski
157,Flipped,WB,2010,14000000,4289993,9.781,7.4,859,-9710007,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
158,Flipped,WB,2010,14000000,4289993,0.962,7.0,2,-9710007,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
162,Carlos,IFC,2010,18000000,1619153,6.568,7.0,87,-16380847,Comedy|Drama,John Krasinski,John Krasinski
164,Enter the Void,IFC,2010,16000000,1467278,9.563,7.3,773,-14532722,Comedy|Drama,John Krasinski,John Krasinski
169,Tiny Furniture,IFC,2010,50000,424149,6.695,5.9,82,374149,Comedy|Drama,John Krasinski,John Krasinski
181,The Hangover Part II,WB,2011,80000000,586464305,32.266,6.4,6231,506464305,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
185,Sherlock Holmes: A Game of Shadows,WB,2011,125000000,535663443,18.301,7.1,6380,410663443,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
186,Rio,Fox,2011,90000000,487519809,14.695,6.6,3730,397519809,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
187,Rise of the Planet of the Apes,Fox,2011,93000000,470986200,22.995,7.2,7259,377986200,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
191,X-Men: First Class,Fox,2011,160000000,355408305,1.447,7.2,8211,195408305,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
192,Alvin and the Chipmunks: Chipwrecked,Fox,2011,80000000,349088523,12.672,5.5,1055,269088523,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
199,Green Lantern,WB,2011,200000000,219535492,17.257,5.1,4290,19535492,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
209,In Time,Fox,2011,35000000,165103952,18.912,6.8,6245,130103952,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
217,Happy Feet Two,WB,2011,135000000,157956466,8.131,5.9,754,22956466,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
223,Contagion,WB,2011,60000000,137551594,10.444,6.3,2128,77551594,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
225,Unknown,WB,2011,40000000,136123083,12.08,6.6,2043,96123083,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
226,Unknown,WB,2011,3700000,3355048,12.08,6.6,2043,-344952,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
228,We Bought a Zoo,Fox,2011,50000000,118729073,9.931,6.7,1523,68729073,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
229,Water for Elephants,Fox,2011,38000000,116809717,6.209,6.9,1627,78809717,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
238,Dolphin Tale,WB,2011,37000000,96068724,10.679,6.8,327,59068724,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
240,Sucker Punch,WB,2011,75000000,89758389,14.416,6.0,2716,14758389,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
241,Red Riding Hood,WB,2011,42000000,91678442,11.856,5.9,1884,49678442,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
243,J. Edgar,WB,2011,35000000,84606030,8.628,6.2,1303,49606030,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
245,"Big Mommas: Like Father, Like Son",Fox,2011,32000000,82332450,16.024,5.5,623,50332450,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
252,Diary of a Wimpy Kid: Rodrick Rules,Fox,2011,18000000,73695194,8.961,6.4,492,55695194,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
258,Something Borrowed,WB,2011,35000000,65084116,7.567,6.1,591,30084116,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
269,Monte Carlo,Fox,2011,20000000,39686769,11.017,6.2,1193,19686769,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
276,The Sitter,Fox,2011,25000000,38749404,11.571,5.4,472,13749404,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
279,What's Your Number?,Fox,2011,20000000,30163785,10.391,6.4,1271,10163785,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
305,The Big Year,Fox,2011,41000000,7684524,7.077,5.8,393,-33315476,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
1384,Brighton Rock,IFC,2011,11000000,229653,4.749,6.0,57,-10770347,Comedy|Drama,John Krasinski,John Krasinski
1400,The Other Woman,IFC,2011,40000000,195111193,9.15,6.2,220,155111193,Comedy|Drama,John Krasinski,John Krasinski
1401,The Other Woman,IFC,2011,40000000,195111193,11.894,6.3,2276,155111193,Comedy|Drama,John Krasinski,John Krasinski
1402,The Other Woman,IFC,2011,40000000,195111193,6.359,4.9,60,155111193,Comedy|Drama,John Krasinski,John Krasinski
1405,Super,IFC,2011,2500000,593933,11.36,6.6,726,-1906067,Comedy|Drama,John Krasinski,John Krasinski
1411,Stake Land,IFC,2011,4000000,679482,8.799,6.2,415,-3320518,Comedy|Drama,John Krasinski,John Krasinski
1416,The Dark Knight Rises,WB,2012,275000000,1084439099,26.22,7.7,13933,809439099,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland
1418,Ice Age: Continental Drift,Fox,2012,95000000,879765137,17.537,6.3,4598,784765137,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
1422,Life of Pi,Fox,2012,120000000,620912003,15.0,7.3,8723,500912003,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
1428,Prometheus,Fox,2012,125000000,402448265,24.98,6.4,7384,277448265,Drama|Mystery and Suspense,Gary Wheeler,Mark Freiburger|Gary Wheeler|Robert Whitlow|Matthew Modine
